Image,Annotation,Mean_GFAP_Intensity,Mean_DAPI_Intensity,GFAP_DAPI_Ratio,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_12-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1621.2155,737.3113,2.198821,0.3698,2026-07-06 20:41:23
2026_05_25__RecognizedCode_12-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,1717.6869,1219.5999,1.408402,0.2666,2026-07-06 20:41:42
2026_05_25__RecognizedCode_12-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,1786.0740,833.5443,2.142746,0.2818,2026-07-06 20:41:58
2026_05_25__RecognizedCode_12-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,854.2992,846.9231,1.008709,0.4135,2026-07-06 20:42:11
2026_05_25__RecognizedCode_12-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1005.7663,1025.2018,0.981042,0.3986,2026-07-06 20:42:26
2026_05_25__RecognizedCode_12-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,1527.1950,657.3339,2.323317,0.3863,2026-07-06 20:42:40
2026_05_25__RecognizedCode_12-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,1694.5745,737.9863,2.296214,0.6918,2026-07-06 20:42:55
2026_05_25__RecognizedCode_01-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,120.3113,33.3172,3.611084,1.4602,2026-07-06 20:43:14
2026_05_25__RecognizedCode_01-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2389.0531,986.0100,2.422950,0.3014,2026-07-06 20:43:25
2026_05_25__RecognizedCode_01-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2396.2881,847.0874,2.828856,0.3667,2026-07-06 20:43:35
2026_05_25__RecognizedCode_01-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2220.2502,732.1280,3.032599,0.362,2026-07-06 20:43:45
2026_05_25__RecognizedCode_01-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2234.4225,672.7741,3.321208,0.3346,2026-07-06 20:43:59
2026_05_25__RecognizedCode_01-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2155.5471,632.1545,3.409842,0.4017,2026-07-06 20:44:18
2026_05_25__RecognizedCode_01-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2269.2621,969.5562,2.340516,0.3822,2026-07-06 20:44:34
2026_05_25__RecognizedCode_01-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2190.7629,1115.0913,1.964649,0.3957,2026-07-06 20:44:44
2026_05_25__RecognizedCode_01-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,1826.8934,531.3959,3.437914,0.8962,2026-07-06 20:44:54
2026_05_25__RecognizedCode_01-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2228.5733,762.6690,2.922072,0.5307,2026-07-06 20:45:14
2026_05_25__RecognizedCode_02-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,3345.9097,1548.8828,2.160208,0.4067,2026-07-06 20:45:33
2026_05_25__RecognizedCode_02-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,3192.1402,1587.1725,2.011212,0.4421,2026-07-06 20:45:43
2026_05_25__RecognizedCode_02-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,2946.0390,1517.9978,1.940740,0.313,2026-07-06 20:45:53
2026_05_25__RecognizedCode_02-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1026.6988,1518.3161,0.676209,0.3238,2026-07-06 20:46:03
2026_05_25__RecognizedCode_02-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2998.4900,1442.2838,2.078988,0.3839,2026-07-06 20:46:16
2026_05_25__RecognizedCode_02-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,3873.7912,1718.4957,2.254176,0.2849,2026-07-06 20:46:31
2026_05_25__RecognizedCode_02-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2862.2520,1206.6180,2.372128,0.2924,2026-07-06 20:46:43
2026_05_25__RecognizedCode_02-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,3381.7075,1789.5598,1.889687,0.3155,2026-07-06 20:46:52
2026_05_25__RecognizedCode_02-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2859.4443,1637.0348,1.746722,0.4051,2026-07-06 20:46:59
