Image,Annotation,Mean_GFAP_Intensity,Background_Intensity,Mean_GFAP_Corrected,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_12-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1616.0532,709.0532,907.0000,0.3837,2026-07-06 12:50:49
2026_05_25__RecognizedCode_12-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1577.7703,288.9089,1288.8614,0.4666,2026-07-06 12:50:56
2026_05_25__RecognizedCode_12-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1642.5302,718.1693,924.3610,0.276,2026-07-06 12:51:02
2026_05_25__RecognizedCode_12-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1621.2155,817.6592,803.5564,0.3698,2026-07-06 12:51:07
2026_05_25__RecognizedCode_12-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,1717.6869,833.3284,884.3585,0.2666,2026-07-06 12:51:14
2026_05_25__RecognizedCode_12-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,1786.0740,574.8005,1211.2735,0.2818,2026-07-06 12:51:19
2026_05_25__RecognizedCode_12-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,854.2992,559.2552,295.0441,0.4135,2026-07-06 12:51:26
2026_05_25__RecognizedCode_12-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1005.7663,543.6815,462.0848,0.3986,2026-07-06 12:51:32
2026_05_25__RecognizedCode_12-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,1527.1950,520.3934,1006.8016,0.3863,2026-07-06 12:51:36
2026_05_25__RecognizedCode_12-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,1694.5745,777.1596,917.4149,0.6918,2026-07-06 12:51:43
2026_05_25__RecognizedCode_01-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,120.3113,0.0000,120.3113,1.4602,2026-07-06 12:51:51
2026_05_25__RecognizedCode_01-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2389.0531,963.2966,1425.7565,0.3014,2026-07-06 12:51:58
2026_05_25__RecognizedCode_01-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2396.2881,895.9587,1500.3294,0.3667,2026-07-06 12:52:02
2026_05_25__RecognizedCode_01-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2220.2502,765.8975,1454.3527,0.362,2026-07-06 12:52:07
2026_05_25__RecognizedCode_01-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2234.4225,508.9634,1725.4591,0.3346,2026-07-06 12:52:13
2026_05_25__RecognizedCode_01-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2155.5471,732.7530,1422.7941,0.4017,2026-07-06 12:52:19
2026_05_25__RecognizedCode_01-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2269.2621,836.2219,1433.0402,0.3822,2026-07-06 12:52:25
2026_05_25__RecognizedCode_01-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2190.7629,826.1285,1364.6344,0.3957,2026-07-06 12:52:30
2026_05_25__RecognizedCode_01-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,1826.8934,281.3764,1545.5170,0.8962,2026-07-06 12:52:36
2026_05_25__RecognizedCode_01-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2228.5733,414.1666,1814.4068,0.5307,2026-07-06 12:52:48
2026_05_25__RecognizedCode_02-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,3345.9097,1063.0564,2282.8532,0.4067,2026-07-06 12:52:54
2026_05_25__RecognizedCode_02-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,3192.1402,1017.0037,2175.1365,0.4421,2026-07-06 12:52:59
2026_05_25__RecognizedCode_02-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,2946.0390,929.3448,2016.6942,0.313,2026-07-06 12:53:04
2026_05_25__RecognizedCode_02-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1026.6988,373.7473,652.9515,0.3238,2026-07-06 12:53:09
2026_05_25__RecognizedCode_02-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2998.4900,970.9340,2027.5560,0.3839,2026-07-06 12:53:13
2026_05_25__RecognizedCode_02-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,3873.7912,1086.1154,2787.6759,0.2849,2026-07-06 12:53:19
2026_05_25__RecognizedCode_02-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2862.2520,322.0605,2540.1915,0.2924,2026-07-06 12:53:24
2026_05_25__RecognizedCode_02-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,3381.7075,1017.5216,2364.1859,0.3155,2026-07-06 12:53:29
2026_05_25__RecognizedCode_02-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2859.4443,870.1852,1989.2591,0.4051,2026-07-06 12:53:33
