Image,Annotation,Astrocyte_Count,Annotation_Area_mm2,Astrocytes_per_mm2
2026_05_25__RecognizedCode_11-Scene-09-ScanRegion8_maxproj,DG,470,0.7700,610.37,2026-06-18 21:39:04
2026_05_25__RecognizedCode_11-Scene-10-ScanRegion9_maxproj,DG,1084,1.8394,589.33,2026-06-18 21:39:40
2026_05_25__RecognizedCode_11-Scene-11-ScanRegion10_maxproj,DG,558,0.8626,646.86,2026-06-18 21:40:08
2026_05_25__RecognizedCode_11-Scene-12-ScanRegion11_maxproj,DG,507,0.8427,601.63,2026-06-18 21:40:31
2026_05_25__RecognizedCode_11-Scene-13-ScanRegion12_maxproj,DG,979,1.4923,656.05,2026-06-18 21:41:14
2026_05_25__RecognizedCode_12-Scene-01-ScanRegion0_maxproj,DG,751,0.8058,931.96,2026-06-18 21:41:35
2026_05_25__RecognizedCode_12-Scene-02-ScanRegion1_maxproj,DG,853,0.9801,870.36,2026-06-18 21:42:01
2026_05_25__RecognizedCode_12-Scene-03-ScanRegion2_maxproj,DG,730,0.5797,1259.27,2026-06-18 21:42:19
2026_05_25__RecognizedCode_12-Scene-04-ScanRegion3_maxproj,DG,994,0.7767,1279.71,2026-06-18 21:42:45
2026_05_25__RecognizedCode_12-Scene-05-ScanRegion4_maxproj,DG,686,0.5600,1225.00,2026-06-18 21:43:07
2026_05_25__RecognizedCode_12-Scene-06-ScanRegion5_maxproj,DG,556,0.5920,939.27,2026-06-18 21:43:29
2026_05_25__RecognizedCode_12-Scene-07-ScanRegion6_maxproj,DG,763,0.8685,878.57,2026-06-18 21:43:52
2026_05_25__RecognizedCode_12-Scene-08-ScanRegion7_maxproj,DG,636,0.8371,759.74,2026-06-18 21:44:16
2026_05_25__RecognizedCode_12-Scene-09-ScanRegion8_maxproj,DG,954,0.8115,1175.64,2026-06-18 21:44:42
2026_05_25__RecognizedCode_12-Scene-10-ScanRegion9_maxproj,DG,2035,1.4531,1400.48,2026-06-18 21:45:10
2026_05_25__RecognizedCode_01-Scene-01-ScanRegion0_maxproj,DG,758,3.6902,205.41,2026-06-18 21:46:38
2026_05_25__RecognizedCode_01-Scene-03-ScanRegion2_maxproj,DG,727,3.0670,237.04,2026-06-18 21:47:43
2026_05_25__RecognizedCode_01-Scene-05-ScanRegion4_maxproj,DG,622,0.6330,982.64,2026-06-18 21:48:12
2026_05_25__RecognizedCode_01-Scene-06-ScanRegion5_maxproj,DG,798,0.7703,1035.98,2026-06-18 21:48:33
2026_05_25__RecognizedCode_01-Scene-07-ScanRegion6_maxproj,DG,568,0.7604,747.00,2026-06-18 21:48:53
2026_05_25__RecognizedCode_01-Scene-08-ScanRegion7_maxproj,DG,809,0.7028,1151.16,2026-06-18 21:49:10
2026_05_25__RecognizedCode_01-Scene-09-ScanRegion8_maxproj,DG,739,0.8437,875.92,2026-06-18 21:49:32
2026_05_25__RecognizedCode_01-Scene-10-ScanRegion9_maxproj,DG,684,0.8029,851.95,2026-06-18 21:49:58
2026_05_25__RecognizedCode_01-Scene-11-ScanRegion10_maxproj,DG,642,0.8312,772.39,2026-06-18 21:50:18
2026_05_25__RecognizedCode_01-Scene-12-ScanRegion11_maxproj,DG,2157,1.8823,1145.95,2026-06-18 21:50:54
2026_05_25__RecognizedCode_01-Scene-13-ScanRegion12_maxproj,DG,1113,1.1147,998.50,2026-06-18 21:51:15
2026_05_25__RecognizedCode_02-Scene-01-ScanRegion0_maxproj,DG,653,0.8542,764.42,2026-06-18 21:51:40
2026_05_25__RecognizedCode_02-Scene-02-ScanRegion1_maxproj,DG,714,0.9286,768.88,2026-06-18 21:52:06
2026_05_25__RecognizedCode_02-Scene-03-ScanRegion2_maxproj,DG,613,0.6575,932.32,2026-06-18 21:52:21
2026_05_25__RecognizedCode_02-Scene-04-ScanRegion3_maxproj,DG,427,0.6802,627.77,2026-06-18 21:52:41
2026_05_25__RecognizedCode_02-Scene-05-ScanRegion4_maxproj,DG,626,0.8063,776.37,2026-06-18 21:53:03
2026_05_25__RecognizedCode_02-Scene-06-ScanRegion5_maxproj,DG,518,0.5983,865.75,2026-06-18 21:53:23
2026_05_25__RecognizedCode_02-Scene-07-ScanRegion6_maxproj,DG,538,0.6142,875.94,2026-06-18 21:53:44
2026_05_25__RecognizedCode_02-Scene-08-ScanRegion7_maxproj,DG,505,0.6627,762.00,2026-06-18 21:54:08
2026_05_25__RecognizedCode_02-Scene-09-ScanRegion8_maxproj,DG,688,0.8509,808.57,2026-06-18 21:54:29
2026_05_25__RecognizedCode_02-Scene-10-ScanRegion9_maxproj,DG,797,0.9362,851.31,2026-06-18 21:54:51
2026_05_25__RecognizedCode_02-Scene-11-ScanRegion10_maxproj,DG,1181,1.1856,996.12,2026-06-18 21:55:13
2026_05_25__RecognizedCode_02-Scene-13-ScanRegion12_maxproj,DG,687,0.8421,815.80,2026-06-18 21:55:32
2026_05_25__RecognizedCode_03-Scene-01-ScanRegion0_maxproj,DG,531,0.5685,934.04,2026-06-18 21:55:50
2026_05_25__RecognizedCode_03-Scene-02-ScanRegion1_maxproj,DG,368,0.5057,727.78,2026-06-18 21:56:08
2026_05_25__RecognizedCode_03-Scene-03-ScanRegion2_maxproj,DG,436,0.5707,763.98,2026-06-18 21:56:27
2026_05_25__RecognizedCode_03-Scene-04-ScanRegion3_maxproj,DG,1401,1.2810,1093.69,2026-06-18 21:56:56
2026_05_25__RecognizedCode_03-Scene-05-ScanRegion4_maxproj,DG,1003,0.8947,1121.03,2026-06-18 21:57:21
2026_05_25__RecognizedCode_03-Scene-06-ScanRegion5_maxproj,DG,599,0.5219,1147.72,2026-06-18 21:57:41
2026_05_25__RecognizedCode_03-Scene-07-ScanRegion6_maxproj,DG,1315,1.4829,886.75,2026-06-18 21:58:22
2026_05_25__RecognizedCode_03-Scene-08-ScanRegion7_maxproj,DG,985,0.8885,1108.61,2026-06-18 21:58:50
2026_05_25__RecognizedCode_03-Scene-09-ScanRegion8_maxproj,DG,792,0.7347,1077.95,2026-06-18 21:59:18
2026_05_25__RecognizedCode_03-Scene-09-ScanRegion8_maxproj,DG,792,0.7347,1077.95,2026-06-18 22:02:01
