Image,Annotation,Nestin_Count,Nestin_Density_per_mm2,Nestin_Intensity_Threshold,SGZ_Area_mm2,Timestamp
2026_05_29__RecognizedCode_05-Scene-09-ScanRegion8_maxproj_4ch,SGZ,25,400.00,500.0,0.0625,2026-07-22 13:36:49
2026_05_29__RecognizedCode_05-Scene-10-ScanRegion9_maxproj_4ch,SGZ,53,627.96,500.0,0.0844,2026-07-22 13:37:07
2026_05_29__RecognizedCode_05-Scene-11-ScanRegion10_maxproj_4ch,SGZ,45,484.39,500.0,0.0929,2026-07-22 13:37:30
2026_05_29__RecognizedCode_05-Scene-12-ScanRegion11_maxproj_4ch,SGZ,58,533.09,500.0,0.1088,2026-07-22 13:37:54
2026_05_29__RecognizedCode_05-Scene-13-ScanRegion12_maxproj_4ch,SGZ,65,868.98,500.0,0.0748,2026-07-22 13:38:12
2026_05_29__RecognizedCode_05-Scene-14-ScanRegion13_maxproj_4ch,SGZ,46,651.56,500.0,0.0706,2026-07-22 13:38:29
2026_05_29__RecognizedCode_05-Scene-15-ScanRegion14_maxproj_4ch,SGZ,63,621.30,500.0,0.1014,2026-07-22 13:38:43
2026_05_29__RecognizedCode_05-Scene-16-ScanRegion15_maxproj_4ch,SGZ,61,726.19,500.0,0.084,2026-07-22 13:39:08
2026_05_29__RecognizedCode_05-Scene-17-ScanRegion16_maxproj_4ch,SGZ,39,378.64,500.0,0.103,2026-07-22 13:39:30
2026_05_29__RecognizedCode_05-Scene-18-ScanRegion17_maxproj_4ch,SGZ,59,612.67,500.0,0.0963,2026-07-22 13:39:41
2026_05_29__RecognizedCode_06-Scene-01-ScanRegion0_maxproj_4ch,SGZ,45,868.73,500.0,0.0518,2026-07-22 13:39:52
2026_05_29__RecognizedCode_06-Scene-02-ScanRegion1_maxproj_4ch,SGZ,28,536.40,500.0,0.0522,2026-07-22 13:40:05
2026_05_29__RecognizedCode_06-Scene-03-ScanRegion2_maxproj_4ch,SGZ,21,410.96,500.0,0.0511,2026-07-22 13:40:17
2026_05_29__RecognizedCode_06-Scene-04-ScanRegion3_maxproj_4ch,SGZ,39,553.98,500.0,0.0704,2026-07-22 13:40:36
2026_05_29__RecognizedCode_06-Scene-05-ScanRegion4_maxproj_4ch,SGZ,23,668.60,500.0,0.0344,2026-07-22 13:40:48
2026_05_29__RecognizedCode_06-Scene-06-ScanRegion5_maxproj_4ch,SGZ,61,754.02,500.0,0.0809,2026-07-22 13:41:00
2026_05_29__RecognizedCode_06-Scene-07-ScanRegion6_maxproj_4ch,SGZ,9,379.75,500.0,0.0237,2026-07-22 13:41:21
2026_05_29__RecognizedCode_06-Scene-08-ScanRegion7_maxproj_4ch,SGZ,43,610.80,500.0,0.0704,2026-07-22 13:41:39
2026_05_29__RecognizedCode_06-Scene-09-ScanRegion8_maxproj_4ch,SGZ,30,316.46,500.0,0.0948,2026-07-22 13:41:51
2026_05_29__RecognizedCode_06-Scene-10-ScanRegion9_maxproj_4ch,SGZ,60,567.64,500.0,0.1057,2026-07-22 13:42:06
2026_05_29__RecognizedCode_06-Scene-11-ScanRegion10_maxproj_4ch,SGZ,42,449.68,500.0,0.0934,2026-07-22 13:42:20
2026_05_29__RecognizedCode_06-Scene-12-ScanRegion11_maxproj_4ch,SGZ,55,534.50,500.0,0.1029,2026-07-22 13:42:35
2026_05_29__RecognizedCode_06-Scene-13-ScanRegion12_maxproj_4ch,SGZ,40,460.83,500.0,0.0868,2026-07-22 13:42:48
2026_05_29__RecognizedCode_06-Scene-14-ScanRegion13_maxproj_4ch,SGZ,35,500.72,500.0,0.0699,2026-07-22 13:43:00
